City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,levanger,63.7464,11.2996,268.18,74,96,3.12,NO,1699904056
325,antsiranana,-12.2787,49.2917,298.59,80,99,4.1,MG,1699904056
326,nova vicosa,-17.8919,-39.3719,299.67,74,6,7.56,BR,1699904057
327,al kharijah,25.4514,30.5464,297.94,48,0,4.58,EG,1699904057
328,taro,-8.3862,115.28,293.96,97,74,0.51,ID,1699904058
329,tan-tan,28.438,-11.1032,298.13,32,0,4.98,MA,1699904059
330,tirebolu,41.0069,38.8139,292.29,56,100,3.1,TR,1699904059
331,ranau,5.9538,116.6641,294.23,97,78,0.07,MY,1699904060
332,hancheng,32.5186,112.3522,278.92,64,0,2.04,CN,1699904061
333,sarandi grande,-33.7333,-56.3333,288.94,74,100,5.84,UY,1699904061
334,manay,7.215,126.5397,297.94,77,18,3.19,PH,1699904062
335,cabo san lucas,22.8909,-109.9124,304.32,54,20,1.54,MX,1699904063
336,revda,56.801,59.9303,275.16,94,100,4.55,RU,1699904063
337,kourou,5.1552,-52.6478,305.18,70,43,4.22,GF,1699904064
338,roma,43.2128,-75.4557,283.05,67,40,4.12,US,1699903942
339,sisimiut,66.9395,-53.6735,265.47,77,100,4.84,GL,1699904065
340,katsuren-haebaru,26.3369,127.8719,293.16,67,100,1.54,JP,1699904066
341,el granada,37.5027,-122.4694,293.14,76,0,3.6,US,1699904066
342,chui,-33.6971,-53.4616,289.58,89,100,6.57,UY,1699904067
343,mazagao,-0.115,-51.2894,308.18,38,18,3.3,BR,1699904068
344,dunedin,-45.8742,170.5036,286.17,78,53,1.24,NZ,1699904069
345,adrar,20.5022,-10.0711,299.77,12,8,4.57,MR,1699904070
346,dhidhdhoo,6.8833,73.1,300.75,75,99,0.69,MV,1699904070
347,west end,26.6833,-78.9667,299.14,82,85,5.87,BS,1699904071
348,cabedelo,-6.9811,-34.8339,302.52,73,99,4.51,BR,1699904071
349,atar,20.5169,-13.0499,302.85,15,4,4.35,MR,1699904072
350,dryden,49.7833,-92.7503,276.31,65,40,5.14,CA,1699904073
351,korla,41.7597,86.1469,277.9,65,53,2.46,CN,1699904074
352,popondetta,-8.7537,148.2534,296.4,92,100,0.42,PG,1699904074
353,alice springs,-23.7,133.8833,297.9,50,20,3.6,AU,1699904075
354,leavenworth,39.2333,-95.0336,294.14,27,0,2.68,US,1699904076
355,guajara mirim,-10.7828,-65.3394,306.24,52,40,3.6,BR,1699904076
356,wenchang,30.904,118.4887,277.02,60,6,1.16,CN,1699904077
357,palmares do sul,-30.2578,-50.5097,294.02,96,100,2.33,BR,1699904077
358,north syracuse,43.1348,-76.1299,283.82,57,75,3.09,US,1699904078
359,san rafael,-34.6177,-68.3301,296.83,15,0,4.48,AR,1699903944
